moves_used,move_limit
640802,34991040
258703,34999055
484056,34999965
406581,34997760
521981,34988310
228984,34998600
19119,34996290
281546,34981100
222964,34995660
1558328,34975710
358576,34995520
139274,34997200
3387913,34994155
1064379,34993140
246256,34989360
777684,34986525
464640,34986140
197428,34998600
29958,34984320
4123523,34999650
108804,34999440
324888,34994960
573508,34986000
368891,34990550
228002,34986700
372706,34997620
1042677,34997025
235116,34995660
138948,34982325
517514,34999965
3323780,34989500
1557265,34990900
417810,34989360
1409010,34979280
477822,34987365
1902954,34990060
747467,34993140
352815,34973190
2427110,34993490
251265,34988310
792862,34997900
481230,34990025
1268837,34999160
609907,34997060
502558,34992300
654559,34979000
355560,34991040
489604,34997340
1096524,34987050
3737752,34972700
1096301,34997900
306519,34974030
1745473,34995625
1895441,34986000
1463484,34996290
522472,34994400
267746,34997340
453438,34987610
274905,34996780
453934,34979350
508057,34991040
547974,34997375
320020,34996500
3482740,34999440
1085175,34999965
1490242,34996500
571754,34988660
820196,34995625
1809630,34994505
1061868,34999720
2695544,34995520
182751,34999650
126836,34997760
1081999,34977740
60680,34997340
2843722,34999720
1405765,34985300
486077,34989745
1002795,34996780
1586632,34977460
192564,34999230
109121,34992545
6447532,34999790
541692,34993140
824768,34997900
598191,34997760
3200457,34992160
31546,34983900
38752,34985720
1393990,34997760
7672648,34982570
4235245,34999440
748340,34968500
37046,34988380
506966,34985475
435766,34990900
1868065,34998810
193705,34982080
3262133,34986140
20906,34994365
3078912,34998950
495476,34993350
373291,34986000
597594,34999615
293784,34991250
1265902,34995555
2033390,34999125
2828413,34994960
879951,34988310
286475,34997375
722673,34993350
165189,34995800
591585,34982325
925930,34999965
535345,34998040
867654,34989570
1302030,34996080
819385,34991250
657420,34998425
176112,34995555
480773,34998250
231519,34988310
1644244,34999930
1594339,34988975
39419,34989150
224544,34982150
1043947,34996780
727524,34988800
636455,34996815
356687,34998180
499643,34993140
18329,34993770
948532,34996920
1826443,34999230
3036571,34999440
2559290,34989570
442212,34996535
97278,34981100
305757,34986000
259514,34982430
332297,34997025
1624990,34999965
1092844,34992440
2968314,34998285
1226846,34997760
835875,34995975
17374,34991880
618843,34999125
384334,34982570
588465,34995555
412410,34993840
288364,34998390
189070,34997025
2174113,34999230
248597,34979840
292629,34999370
248857,34998810
370484,34998180
297292,34996780
158508,34974485
1438042,34997760
416406,34980995
219535,34997760
1007333,34998810
74648,34988800
54899,34991110
1140373,34999965
1466554,34993140
305984,34993350
922586,34998040
926316,34997270
1200759,34986735
72771,34975395
2174405,34999440
18334,34989255
1764231,34978860
3383907,34993280
865746,34982010
1765366,34998600
797309,34975360
787869,34967975
752455,34989360
613408,34994960
1510961,34986000
140975,34987400
32849,34997760
44462,35000000
3766677,34982745
1133308,34994960
433604,34993350
2492294,34998390
388368,34986000
1678080,34993770
1131237,34984425
808863,34997760
408799,34999965
435017,34984320
667681,34999965
1616686,34983900
653820,34989080
1107659,34999230
4192330,34993350
2791455,34998600
285831,34971790
1115422,34979805
72036,34989360
1021586,34975710
207870,34995800
517566,34998810
37562,34995240
755409,34995695
647716,34993525
842191,34996430
1293387,34996290
861865,34987680
792633,34999930
1142194,34992720
384588,34995975
1371743,34977390
105494,34998390
329065,34997760
281460,34979175
1804387,34997515
406907,34978860
2128353,34999720
1081925,34974485
542238,34991250
653265,34993840
167317,34977740
790369,34994960
1802774,34977390
51622,34994540
991927,34986595
1726738,34996115
672355,34984460
1147032,34991110
240867,34997760
677049,34999720
1071913,34992720
809028,34989570
66607,34999440
1331311,34979280
574827,34996500
1561355,34986525
366715,34983060
1251098,34995800
1622284,34998600
367959,34993630
801392,34985790
1014049,34997900
1013939,34984950
3008577,34996780
989109,34987680
525097,34994505
715175,34999860
1255848,34981975
1001546,34986000
5784,34996500
1821973,34996710
5617015,34993910
845516,34996920
1320143,34989430
959025,34997865
1621894,34997760
937654,34990585
969842,34991880
10932,34981100
1017444,34996780
2103828,34979805
527316,34986000
394811,34992125
306764,34999230
313120,34984950
2895914,34986000
54027,34978020
136131,34997340
1079771,34998495
228640,34985720
998591,34978860
96941,34994330
1800294,34968500
562706,34997270
108497,34999055
2670082,35000000
1210764,34987680
1564651,34994960
781275,34998600
1233948,34976200
1543749,34986245
1624394,34978020
779338,34999020
414129,34998040
385164,34987680
298701,34986875
797403,34996290
342777,34988800
1389929,34991880
304752,34973715
544623,34993350
813315,34994960
193003,34997620
671999,34995695
1597249,34989150
222806,34993350
1751836,34987680
108769,34997760
55466,34987225
2765066,34992650
