moves_used,move_limit
1,140
9,140
140,140
140,140
2,140
1,140
0,140
140,140
140,140
0,140
140,140
140,140
140,140
1,140
140,140
0,140
0,140
140,140
140,140
140,140
140,140
0,140
10,140
140,140
140,140
0,140
140,140
4,140
140,140
140,140
0,140
140,140
0,140
0,140
0,140
1,140
140,140
1,140
140,140
140,140
140,140
1,140
140,140
0,140
0,140
140,140
140,140
0,140
140,140
140,140
140,140
1,140
140,140
1,140
140,140
1,140
140,140
1,140
2,140
0,140
140,140
140,140
140,140
140,140
140,140
140,140
3,140
1,140
3,140
0,140
0,140
0,140
140,140
1,140
140,140
0,140
5,140
2,140
0,140
140,140
140,140
140,140
1,140
1,140
140,140
140,140
140,140
140,140
140,140
4,140
0,140
140,140
140,140
11,140
140,140
140,140
140,140
140,140
140,140
140,140
4,210
210,210
0,210
0,210
0,210
5,210
0,210
1,210
8,210
210,210
210,210
210,210
210,210
210,210
210,210
0,210
210,210
210,210
210,210
210,210
5,210
210,210
210,210
210,210
210,210
210,210
0,210
0,210
210,210
210,210
210,210
4,210
6,210
1,210
1,210
1,210
210,210
0,210
210,210
0,210
210,210
5,210
0,210
0,210
210,210
210,210
4,210
0,210
7,210
1,210
4,210
1,210
210,210
210,210
210,210
210,210
210,210
8,210
210,210
210,210
3,210
1,210
0,210
1,210
0,210
210,210
4,210
210,210
210,210
4,210
4,210
210,210
210,210
1,210
2,210
2,210
210,210
210,210
210,210
210,210
1,210
210,210
210,210
210,210
210,210
0,210
0,210
0,210
0,210
210,210
210,210
7,210
4,210
210,210
210,210
210,210
1,210
210,210
210,210
210,210
3,280
0,280
280,280
4,280
2,280
2,280
0,280
0,280
280,280
280,280
280,280
280,280
8,280
280,280
280,280
3,280
0,280
280,280
5,280
0,280
280,280
280,280
0,280
11,280
5,280
1,280
280,280
7,280
1,280
0,280
280,280
5,280
280,280
5,280
280,280
0,280
280,280
280,280
280,280
280,280
5,280
0,280
0,280
12,280
8,280
0,280
6,280
280,280
280,280
280,280
280,280
2,280
280,280
1,280
280,280
0,280
280,280
7,280
280,280
280,280
6,280
2,280
280,280
1,280
280,280
0,280
280,280
280,280
280,280
14,280
280,280
0,280
5,280
280,280
280,280
0,280
280,280
280,280
280,280
0,280
280,280
280,280
280,280
2,280
1,280
280,280
280,280
0,280
2,280
280,280
8,280
280,280
280,280
280,280
280,280
280,280
280,280
280,280
280,280
280,280
350,350
350,350
350,350
350,350
4,350
350,350
5,350
3,350
350,350
0,350
1,350
350,350
1,350
350,350
350,350
350,350
0,350
2,350
350,350
6,350
3,350
350,350
350,350
9,350
0,350
350,350
7,350
350,350
350,350
350,350
8,350
11,350
5,350
0,350
4,350
350,350
350,350
27,350
350,350
4,350
4,350
350,350
5,350
350,350
350,350
11,350
0,350
350,350
12,350
5,350
8,350
1,350
3,350
0,350
5,350
350,350
2,350
10,350
0,350
9,350
350,350
10,350
350,350
350,350
350,350
350,350
350,350
350,350
19,350
1,350
350,350
2,350
2,350
6,350
0,350
350,350
13,350
350,350
350,350
350,350
350,350
0,350
7,350
3,350
10,350
350,350
350,350
350,350
350,350
2,350
350,350
3,350
350,350
350,350
350,350
350,350
350,350
0,350
6,350
350,350
1,420
420,420
420,420
420,420
6,420
420,420
3,420
20,420
3,420
1,420
420,420
420,420
420,420
1,420
420,420
2,420
13,420
0,420
11,420
420,420
7,420
11,420
420,420
4,420
6,420
2,420
3,420
420,420
17,420
5,420
5,420
0,420
0,420
13,420
1,420
8,420
420,420
420,420
420,420
420,420
420,420
3,420
3,420
2,420
420,420
420,420
13,420
420,420
420,420
420,420
7,420
12,420
2,420
420,420
420,420
18,420
7,420
5,420
4,420
420,420
7,420
20,420
420,420
420,420
420,420
420,420
5,420
420,420
21,420
0,420
1,420
420,420
420,420
1,420
420,420
420,420
9,420
5,420
420,420
420,420
420,420
12,420
420,420
1,420
420,420
5,420
420,420
1,420
420,420
12,420
6,420
420,420
420,420
1,420
420,420
420,420
12,420
420,420
5,420
6,420
2,490
8,490
8,490
490,490
0,490
490,490
490,490
16,490
2,490
490,490
490,490
490,490
490,490
490,490
490,490
7,490
2,490
0,490
490,490
4,490
28,490
18,490
490,490
4,490
490,490
7,490
490,490
490,490
490,490
8,490
3,490
490,490
24,490
490,490
490,490
9,490
490,490
3,490
490,490
8,490
13,490
490,490
1,490
490,490
490,490
490,490
4,490
490,490
0,490
0,490
490,490
490,490
5,490
12,490
490,490
490,490
0,490
490,490
490,490
490,490
490,490
1,490
0,490
490,490
12,490
10,490
490,490
490,490
