moves_used,move_limit
140,140
140,140
140,140
1,140
140,140
140,140
0,140
140,140
140,140
140,140
140,140
2,140
140,140
0,140
0,140
0,140
140,140
1,140
2,140
0,140
140,140
140,140
140,140
140,140
140,140
140,140
0,140
140,140
140,140
0,140
140,140
5,140
0,140
8,140
0,140
140,140
140,140
140,140
5,140
0,140
0,140
0,140
0,140
140,140
3,140
140,140
0,140
140,140
140,140
1,140
2,140
140,140
5,140
3,140
140,140
0,140
1,140
140,140
140,140
140,140
140,140
140,140
1,140
0,140
140,140
140,140
5,140
1,140
0,140
140,140
140,140
0,140
140,140
0,140
1,140
7,140
0,140
140,140
4,140
3,140
140,140
140,140
140,140
4,140
2,140
1,140
0,140
140,140
140,140
1,140
0,140
1,140
140,140
140,140
1,140
140,140
140,140
140,140
140,140
140,140
6,210
210,210
4,210
0,210
7,210
5,210
210,210
0,210
0,210
210,210
0,210
210,210
2,210
0,210
210,210
210,210
6,210
210,210
210,210
0,210
14,210
210,210
210,210
1,210
0,210
0,210
210,210
210,210
7,210
210,210
210,210
2,210
210,210
6,210
210,210
0,210
210,210
210,210
0,210
210,210
210,210
10,210
8,210
210,210
12,210
210,210
22,210
210,210
0,210
210,210
210,210
210,210
210,210
7,210
210,210
210,210
210,210
0,210
11,210
210,210
0,210
210,210
1,210
210,210
210,210
3,210
210,210
6,210
210,210
4,210
6,210
2,210
0,210
210,210
210,210
210,210
210,210
8,210
2,210
1,210
5,210
210,210
5,210
210,210
210,210
3,210
210,210
8,210
210,210
2,210
210,210
210,210
210,210
210,210
0,210
210,210
210,210
1,210
210,210
3,210
0,280
1,280
280,280
280,280
4,280
0,280
6,280
280,280
5,280
11,280
280,280
280,280
280,280
3,280
6,280
280,280
280,280
280,280
0,280
280,280
5,280
280,280
280,280
280,280
0,280
1,280
280,280
280,280
25,280
280,280
280,280
280,280
0,280
280,280
1,280
280,280
280,280
280,280
23,280
280,280
280,280
3,280
1,280
1,280
2,280
0,280
280,280
280,280
280,280
3,280
280,280
0,280
3,280
1,280
18,280
1,280
280,280
280,280
280,280
280,280
280,280
280,280
280,280
3,280
11,280
280,280
280,280
280,280
280,280
280,280
280,280
2,280
3,280
6,280
280,280
1,280
1,280
0,280
280,280
14,280
7,280
2,280
280,280
280,280
0,280
280,280
4,280
3,280
2,280
280,280
280,280
8,280
280,280
13,280
26,280
280,280
280,280
280,280
280,280
0,280
350,350
1,350
1,350
39,350
350,350
0,350
350,350
350,350
18,350
11,350
12,350
350,350
350,350
350,350
350,350
0,350
350,350
350,350
22,350
2,350
350,350
350,350
7,350
42,350
3,350
0,350
1,350
350,350
0,350
350,350
0,350
350,350
12,350
0,350
0,350
19,350
38,350
0,350
7,350
23,350
350,350
8,350
3,350
23,350
26,350
350,350
1,350
13,350
2,350
350,350
350,350
8,350
0,350
0,350
0,350
350,350
5,350
7,350
350,350
350,350
350,350
350,350
350,350
0,350
1,350
3,350
1,350
350,350
50,350
0,350
13,350
350,350
350,350
350,350
3,350
350,350
31,350
350,350
350,350
350,350
0,350
0,350
1,350
49,350
23,350
1,350
11,350
1,350
2,350
0,350
25,350
4,350
5,350
0,350
4,350
2,350
0,350
350,350
350,350
350,350
1,420
420,420
420,420
420,420
0,420
420,420
6,420
420,420
420,420
13,420
4,420
0,420
0,420
4,420
0,420
0,420
11,420
420,420
30,420
420,420
11,420
5,420
26,420
420,420
420,420
3,420
420,420
420,420
51,420
2,420
1,420
0,420
420,420
420,420
420,420
420,420
4,420
420,420
16,420
32,420
420,420
82,420
19,420
2,420
420,420
420,420
420,420
420,420
25,420
2,420
175,420
1,420
0,420
3,420
420,420
420,420
420,420
420,420
16,420
420,420
20,420
23,420
0,420
9,420
4,420
420,420
420,420
15,420
420,420
420,420
0,420
9,420
420,420
420,420
2,420
0,420
420,420
420,420
420,420
420,420
420,420
14,420
420,420
420,420
15,420
5,420
6,420
6,420
420,420
8,420
4,420
0,420
420,420
8,420
0,420
42,420
14,420
420,420
5,420
8,420
490,490
0,490
39,490
25,490
2,490
42,490
0,490
490,490
490,490
490,490
2,490
490,490
490,490
490,490
490,490
1,490
0,490
7,490
490,490
490,490
490,490
490,490
490,490
0,490
490,490
31,490
108,490
490,490
490,490
490,490
490,490
10,490
22,490
2,490
0,490
490,490
490,490
490,490
7,490
46,490
490,490
490,490
490,490
490,490
490,490
14,490
0,490
490,490
490,490
0,490
490,490
33,490
1,490
1,490
490,490
18,490
13,490
3,490
490,490
4,490
10,490
7,490
72,490
490,490
0,490
42,490
490,490
490,490
1,490
490,490
15,490
490,490
490,490
0,490
2,490
490,490
87,490
0,490
490,490
490,490
490,490
19,490
5,490
490,490
490,490
4,490
490,490
23,490
490,490
490,490
490,490
181,490
6,490
490,490
1,490
490,490
19,490
21,490
0,490
490,490
35,560
560,560
0,560
3,560
560,560
21,560
8,560
19,560
560,560
560,560
10,560
5,560
9,560
6,560
560,560
560,560
28,560
560,560
560,560
1,560
560,560
560,560
560,560
560,560
105,560
1,560
1,560
3,560
14,560
560,560
2,560
70,560
560,560
560,560
7,560
560,560
7,560
560,560
560,560
560,560
560,560
560,560
560,560
31,560
36,560
560,560
118,560
560,560
21,560
0,560
0,560
32,560
84,560
560,560
560,560
0,560
0,560
560,560
560,560
3,560
0,560
560,560
3,560
560,560
560,560
560,560
560,560
560,560
1,560
560,560
48,560
15,560
560,560
37,560
8,560
13,560
35,560
560,560
560,560
41,560
560,560
24,560
14,560
560,560
560,560
58,560
560,560
0,560
57,560
560,560
560,560
1,560
3,560
560,560
560,560
560,560
560,560
560,560
1,560
4,560
48,630
630,630
4,630
96,630
630,630
2,630
630,630
630,630
630,630
93,630
630,630
630,630
630,630
630,630
630,630
630,630
630,630
630,630
71,630
133,630
5,630
630,630
630,630
40,630
42,630
18,630
630,630
61,630
0,630
630,630
630,630
630,630
630,630
630,630
630,630
53,630
630,630
630,630
1,630
630,630
178,630
0,630
93,630
1,630
164,630
630,630
630,630
630,630
630,630
128,630
15,630
53,630
27,630
46,630
630,630
6,630
630,630
630,630
8,630
3,630
29,630
630,630
630,630
630,630
71,630
630,630
31,630
630,630
630,630
630,630
5,630
630,630
59,630
41,630
630,630
630,630
46,630
630,630
630,630
630,630
3,630
630,630
630,630
630,630
630,630
630,630
5,630
1,630
1,630
630,630
630,630
44,630
6,630
630,630
54,630
630,630
60,630
630,630
6,630
630,630
3,700
33,700
1,700
700,700
700,700
0,700
700,700
9,700
700,700
0,700
700,700
700,700
0,700
4,700
700,700
0,700
32,700
700,700
35,700
89,700
20,700
700,700
700,700
10,700
19,700
700,700
13,700
6,700
700,700
14,700
4,700
700,700
0,700
700,700
37,700
700,700
700,700
